name,id,numeric_id,variant_group,sort_order,additional_badges,role_badges,badges,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,wagon_formation_modifier,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,inhibit_lead,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,pax_special,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,gameplay_text,brake_text,additional_text,has_aged_variant
Flag,flag,,,,,,,,badge,flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,flag_gb,,,,,,,,badge,flag/gb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power,power,,,,,,,,badge,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam,power_steam,,,,,,,,badge,power/steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,power_diesel,,,,,,,,badge,power/diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrol,power_petrol,,,,,,,,badge,power/petrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric,power_electric,,,,,,,,badge,power/electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery,power_battery,,,,,,,,badge,power/battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Turbine,power_turbine,,,,,,,,badge,power/turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,power_muscle,,,,,,,,badge,power/animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,role,,,,,,,,badge,role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,role_passenger,,,,,,,,badge,role/passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express Passenger,role_express_passenger,,,,,,,,badge,role/express_passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Traffic,role_mixed,,,,,,,,badge,role/mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freight,role_freight,,,,,,,,badge,role/freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Freight,role_heavy_freight,,,,,,,,badge,role/heavy_freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shunting,role_shunting,,,,,,,,badge,role/shunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prototype,role_prototype,,,,,,,,badge,role/prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mail,role_mail,,,,,,,,badge,role/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collett Tender,collett_tender,-1,,-1,,,,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Billy Tender,billy_tender,-1,,-1,,,,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Stockton Tender,stockton_tender,-1,,-1,,,,,tender,tender,RAIL,1825,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Rocket Tender,rocket_tender,-1,,-1,,,,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Stephenson Tender,stephenson_tender,-1,,-1,,,,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Crampton Tender,crampton_tender,-1,,-1,,,,,tender,tender,RAIL,1830,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Bury Tender,bury_tender,-1,,-1,,,,,tender,tender,RAIL,1830,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
NER Tender,ner_tender,-1,,-1,,,,,tender,tender,RAIL,1850,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
NER Tender (Low),ner_tender_low,-1,,-1,,,,,tender,tender,RAIL,1850,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
